name,year,InequalityRate,property rights,government integrity,judicial effectiveness,tax burden,government spending,fiscal health,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom
Luxembourg,2010,4.1,90,83,75.7666666666667,65.9,58.5,98.9666666666667,75.1,40.4,78.9,87.5,95,80
Malta,2010,4.3,80,58,58.7,62.5,45.6,89.8666666666667,70,60,78.1,87.5,70,60
Netherlands,2010,3.7,90,89,72.9,52,38.4,88.1666666666667,82.6,59.1,81,87.5,90,80
Norway,2010,3.4,90,79,83.5,50.5,49.8,97.8333333333333,88.8,47.1,74.2,89.2,65,60
Poland,2010,5,55,46,52.8666666666667,74.9,46.8,81.3333333333333,62.2,61.5,78.1,87.5,60,60
Portugal,2010,5.6,70,61,67.7666666666667,61,37.1,49.3,80.5,37,79.7,87.5,70,60
Romania,2010,6.1,40,38,56.7,85.8,59.8,90.4333333333333,72.5,60.4,73.3,87.5,75,50
Slovakia,2010,3.8,55,50,38,84,64.5,85,72.6,65.1,78.2,87.5,70,70
Slovenia,2010,3.4,60,67,53.1,64,46.1,51.6666666666667,83.3,43.5,76,87.5,70,50
Spain,2010,6.2,70,65,55.7666666666667,58.1,54.8,38.0333333333333,75.8,47.3,77.7,87.5,80,80
Sweden,2010,3.8,95,93,84.8,36.7,17.3,95.3666666666667,95.5,54.9,79.5,87.5,85,80
Switzerland,2010,4.5,90,90,80.5666666666667,68.2,68.9,96,81.2,81.8,81.3,90,80,80
Turkey,2010,9.9,50,46,52.2666666666667,78.1,82.9,93.8333333333333,68.9,41.1,70,86.4,65,50
United Kingdom,2010,5.4,85,77,90.9,61.8,41.9,54.1666666666667,94.9,72.8,73.7,87.5,90,80
Austria,2009,4.2,90,81,78,49.9,27.1,82.1,78.6,78.7,80.9,85.8,70,70
Belgium,2009,3.9,80,71,66.8,41.5,28.3,69.2,93.2,70.5,81,85.8,90,80
Bulgaria,2009,5.9,30,41,41.1,86.2,58.7,93.1666666666667,73.5,78.4,72.8,85.8,60,60
Croatia,2009,5.5408203125,30,41,52.0666666666667,68.7,31.7,65.7666666666667,59.9,43.4,79,87.6,50,60
Cyprus,2009,4.4,90,53,55.1666666666667,76.6,42.2,77.5,70,70,85.7,80.8,70,70
Denmark,2009,4.6,95,94,76.6333333333333,35.4,20.4,96.2666666666667,99.9,99.4,86.6,85.8,90,90
Estonia,2009,5,90,65,80.9,81.5,67.3,99.8,75.9,48.5,79.7,85.8,90,80
Finland,2009,3.7,95,94,82.2,64.3,28.6,81.6,95.1,44.8,87.4,85.8,70,80
France,2009,4.4,70,73,70.5,50.9,14.5,60.9,87.4,54.5,71.7,80.8,60,70
Germany,2009,4.5,90,78,77.6333333333333,58.5,38.2,90.8333333333333,90.3,43.4,80.8,85.8,80,60
Greece,2009,5.8,50,46,54.8666666666667,66.5,46.3,69.2,78.7,61.2,78.8,80.8,50,50
Iceland,2009,4.2,90,92,69.3,76.2,44,93.8666666666667,93.6,59.9,75.3,88,70,70
Ireland,2009,4.2,90,75,75.2333333333333,69.2,64.9,76.7,93,79.7,84.3,85.8,90,90
Italy,2009,5.3,50,52,55.3666666666667,55.8,24.7,68.8,78.7,61.3,80.8,80.8,70,60
Latvia,2009,7.4,55,48,55.6666666666667,82.3,58.5,95.7333333333333,73.8,61.6,71.1,85.8,70,60
Lithuania,2009,6.4,50,48,63.4333333333333,87.6,65.3,95.8666666666667,82.4,54.6,75.8,85.8,70,80
Luxembourg,2009,4.3,90,84,75.7666666666667,66.3,54.4,98.9666666666667,76.2,45.1,80.2,85.8,90,80
Malta,2009,4,90,58,58.7,63.1,41.7,89.8666666666667,70,60,82.7,85.8,50,60
Netherlands,2009,4,90,90,72.9,50.9,36.2,88.1666666666667,86.5,63.3,87,85.8,90,90
Norway,2009,3.5,90,87,83.5,50.3,50.5,97.8333333333333,88.1,48.6,78.1,89.2,60,60
Poland,2009,5,50,42,52.8666666666667,69,42.2,81.3333333333333,53.7,59.8,80.8,85.8,60,60
Portugal,2009,6,70,65,67.7666666666667,61.6,35.4,49.3,81.1,40.3,79.9,85.8,70,60
Romania,2009,6.5,35,37,56.7,87,70,90.4333333333333,74.9,57.1,75,85.8,60,50
Slovakia,2009,3.6,50,49,38,84.1,57.4,85,73.4,75.3,78.7,85.8,70,70
Slovenia,2009,3.2,60,66,53.1,62.9,38.4,51.6666666666667,84.5,42.8,78.6,85.8,60,50
Spain,2009,5.9,70,67,55.7666666666667,58.6,55.3,38.0333333333333,76.8,48.3,78.9,85.8,80,80
Sweden,2009,4,90,93,84.8,35,7.3,95.3666666666667,95.9,55.5,82.1,85.8,80,80
Switzerland,2009,4.8,90,90,80.5666666666667,67.5,65.3,96,82.9,79.2,83.9,85.4,70,80
Turkey,2009,10.3,50,41,52.2666666666667,73.2,83.4,93.8333333333333,69.9,40.3,71.1,86.6,50,50
United Kingdom,2009,5.3,90,84,90.9,61,40.3,54.1666666666667,89.8,78.5,80.4,85.8,90,90
Austria,2008,4.2,90,86,78,51.2,25.3,82.1,80.9,73.2,81.4,86,70,70
Belgium,2008,4.1,80,73,66.8,43.9,17.9,69.2,93.7,71.6,80.4,86,90,80
Bulgaria,2008,6.5,30,40,41.1,82.7,56,93.1666666666667,68.4,80.6,73.7,86,60,60
Croatia,2008,5.53515625,30,34,52.0666666666667,68.8,28,65.7666666666667,58.5,45.5,78.8,87.6,50,60
Cyprus,2008,4.3,90,56,55.1666666666667,78.2,43,77.5,70,70,85,81,70,70
Denmark,2008,3.6,90,95,76.6333333333333,35,19.8,96.2666666666667,99.9,100,86.5,86,90,90
Estonia,2008,5,90,67,80.9,86,62,99.8,85.3,50.7,82,86,90,80
Finland,2008,3.8,90,96,82.2,64.3,29.1,81.6,95.2,46.4,88.5,86,70,80
France,2008,4.4,70,74,70.5,53.2,13.2,60.9,88,56.4,81.2,81,60,70
Germany,2008,4.8,90,80,77.6333333333333,58.4,34,90.8333333333333,89.9,46.3,81.4,86,80,60
Greece,2008,5.9,50,44,54.8666666666667,65.6,57.8,69.2,70.4,58.8,78.5,81,50,50
Iceland,2008,3.8,90,96,69.3,73.6,46.3,93.8666666666667,94.5,67.9,74.8,85,60,70
Ireland,2008,4.4,90,74,75.2333333333333,71.5,64.5,76.7,93,81.1,84.9,86,90,90
Italy,2008,5.2,50,49,55.3666666666667,54.3,29.4,68.8,77,74.5,80.6,81,70,60
Latvia,2008,7.3,55,47,55.6666666666667,83.4,59.2,95.7333333333333,74.8,64.1,73.8,86,70,70
Lithuania,2008,6.1,50,48,63.4333333333333,86.3,68.3,95.8666666666667,84.2,57.7,78.5,86,70,80
Luxembourg,2008,4.1,90,86,75.7666666666667,65.4,44.8,98.9666666666667,77.3,47.4,79.8,86,90,80
Malta,2008,4.3,90,64,58.7,61.3,29.1,89.8666666666667,70,60,79.8,86,50,70
Netherlands,2008,4,90,87,72.9,51.6,38.2,88.1666666666667,88,65.8,86.9,86,90,90
Norway,2008,3.7,90,88,83.5,50.3,46.3,97.8333333333333,89.1,49.5,76.1,86.2,60,50
Poland,2008,5.1,50,37,52.8666666666667,68.6,43.5,81.3333333333333,54.2,61.3,82.3,86,60,60
Portugal,2008,6.1,70,66,67.7666666666667,61.3,32.6,49.3,80.5,43.1,79.4,86,70,50
Romania,2008,7,30,31,56.7,85.6,70.8,90.4333333333333,74.9,56.3,72.5,86,60,50
Slovakia,2008,3.4,50,47,38,89.4,53.9,85,69.5,77.1,76.9,86,70,80
Slovenia,2008,3.4,50,64,53.1,62.4,33.2,51.6666666666667,74.1,42.4,79.5,86,60,50
Spain,2008,5.6,70,68,55.7666666666667,54.5,56.2,38.0333333333333,77.9,50.2,78.1,86,70,80
Sweden,2008,3.7,90,92,84.8,32.7,3.9,95.3666666666667,95.6,65,82.8,86,80,80
Switzerland,2008,4.9,90,91,80.5666666666667,68,61.6,96,83.9,79.9,83.6,87.2,70,80
Turkey,2008,9.3,50,38,52.2666666666667,77.7,68.3,93.8333333333333,68.3,39.5,70.8,86.8,50,50
United Kingdom,2008,5.6,90,86,90.9,61.2,40.1,54.1666666666667,90.8,79.5,80.7,86,90,90
Austria,2007,3.8,90,87,78,50.3,24.7,82.1,81.7,70.1,86,86.6,70,70
Belgium,2007,3.9,80,74,66.8,44.1,26.5,69.2,92.6,70.8,80.5,86.6,90,80
Bulgaria,2007,7,30,40,41.1,82.4,57.8,93.1666666666667,70.3,79.8,75.8,70.8,60,60
Croatia,2007,5.528125,30,34,52.0666666666667,69.9,24.4,65.7666666666667,54.2,44.5,79.3,87.8,50,60
Cyprus,2007,4.4,90,57,55.1666666666667,79.4,44.8,77.5,70,70,84.7,81.6,70,70
Denmark,2007,3.7,90,95,76.6333333333333,34.2,12.8,96.2666666666667,94.8,99.9,86.8,86.6,80,90
Estonia,2007,5.5,90,64,80.9,84.5,61.8,99.8,79.9,49.7,83,86.6,90,90
Finland,2007,3.7,90,96,82.2,63.1,23.5,81.6,95.3,45.6,89.9,86.6,70,80
France,2007,3.9,70,75,70.5,46.3,13.5,60.9,87.2,56.1,81,81.6,50,60
Germany,2007,4.9,90,82,77.6333333333333,61.4,33.7,90.8333333333333,88.9,44.2,81.5,86.6,90,50
Greece,2007,6,50,43,54.8666666666667,62.4,53.4,69.2,69.7,58,78.4,81.6,50,40
Iceland,2007,3.9,90,97,69.3,73.5,41.7,93.8666666666667,94.9,66.2,82.9,84,60,70
Ireland,2007,4.8,90,74,75.2333333333333,71.7,65.9,76.7,92.1,80.6,85.3,86.6,90,90
Italy,2007,5.4,50,50,55.3666666666667,52.8,31.5,68.8,77,74.4,80.5,81.6,70,60
Latvia,2007,6.4,50,42,55.6666666666667,83.9,61.3,95.7333333333333,74.5,66.9,74.2,86.6,70,70
Lithuania,2007,5.9,50,48,63.4333333333333,86.5,70.8,95.8666666666667,84.3,57.3,81.1,86.6,70,80
Luxembourg,2007,4,90,85,75.7666666666667,65.3,44,98.9666666666667,76.9,47.8,80.2,86.6,90,80
Malta,2007,3.9,90,66,58.7,61.1,27.7,89.8666666666667,70,60,80,86.6,50,70
Netherlands,2007,4,90,86,72.9,48.8,34.9,88.1666666666667,88.4,62.7,87.2,86.6,90,80
Norway,2007,3.5,90,89,83.5,50.6,37.6,97.8333333333333,91.1,49,82.5,89.2,50,50
Poland,2007,5.3,50,34,52.8666666666667,68.6,44.8,81.3333333333333,55.3,61.4,80.3,86.6,50,50
Portugal,2007,6.5,70,65,67.7666666666667,62.3,35.4,49.3,78.6,41.5,80.4,86.6,70,50
Romania,2007,8.1,30,30,56.7,85.9,71,90.4333333333333,73.2,58,69.7,84,50,60
Slovakia,2007,3.5,50,43,38,89.5,53.7,85,70.7,76.1,76.6,86.6,70,80
Slovenia,2007,3.3,50,61,53.1,54.6,30.9,51.6666666666667,72.9,41.2,78.9,86.6,70,50
Spain,2007,5.5,70,70,55.7666666666667,55.2,54.8,38.0333333333333,78,49.3,78.5,86.6,70,80
Sweden,2007,3.3,90,92,84.8,33.1,3.6,95.3666666666667,94.2,65,83.8,81.4,80,70
Switzerland,2007,4.7,90,91,80.5666666666667,67.9,59.8,96,84.1,77,83.5,87,70,70
Turkey,2007,9.3,50,35,52.2666666666667,69.1,62.4,93.8333333333333,67.4,38.8,70.1,81,50,50
United Kingdom,2007,5.3,90,86,90.9,62,42.7,54.1666666666667,91.2,79,81.3,86.6,90,90
Austria,2006,3.7,90,84,78,50.2,23.2,82.1,82,72.7,86.4,82.4,70,70
Belgium,2006,4.2,90,75,66.8,42.8,26.8,69.2,90.7,68.4,81.5,82.4,90,70
Bulgaria,2006,5.1,30,41,41.1,83.2,49.8,93.1666666666667,70.5,79.8,80.7,65.8,70,70
Croatia,2006,5.5125,30,35,52.0666666666667,69.6,23.2,65.7666666666667,54.5,44.6,81.2,78.4,50,70
Cyprus,2006,4.3,90,54,55.1666666666667,79.1,48.3,77.5,70,70,84.4,82.4,70,70
Denmark,2006,3.4,90,95,76.6333333333333,35.5,9.3,96.2666666666667,94.6,99.9,87.2,82.4,70,90
Estonia,2006,5.5,70,60,80.9,83.8,57.4,99.8,81.9,49.3,84.7,82.4,90,90
Finland,2006,3.6,90,97,82.2,61.9,24.4,81.6,95.4,47.4,90.8,82.4,70,70
France,2006,4,70,71,70.5,46.6,11.2,60.9,88,56.5,85.6,82.4,50,50
Germany,2006,4.1,90,82,77.6333333333333,60.8,31.7,90.8333333333333,89.1,44.4,87.1,82.4,90,50
Greece,2006,6.1,50,43,54.8666666666667,61,53.9,69.2,73.2,58.6,78.7,82.4,50,50
Iceland,2006,3.7,90,95,69.3,73.7,32,93.8666666666667,95.1,65.4,88.8,78.2,50,90
Ireland,2006,4.9,90,75,75.2333333333333,72,64.7,76.7,93.7,79.6,84.4,82.4,90,90
Italy,2006,5.4,50,48,55.3666666666667,52,29.1,68.8,78.4,74.6,85.2,82.4,70,50
Latvia,2006,7.8,50,40,55.6666666666667,83.5,51,95.7333333333333,75,66.6,80.8,82.4,70,70
Lithuania,2006,6.3,50,46,63.4333333333333,82.9,63.9,95.8666666666667,85.2,57.1,90.4,82.4,70,90
Luxembourg,2006,4.2,90,84,75.7666666666667,65.7,36.8,98.9666666666667,76.9,51.4,85.7,82.4,90,90
Malta,2006,4,90,68,58.7,62.2,35.4,89.8666666666667,70,60,85,82.4,50,70
Netherlands,2006,3.8,90,87,72.9,48,29.1,88.1666666666667,87.5,62.9,86.6,82.4,90,90
Norway,2006,4.8,90,89,83.5,50.8,34.9,97.8333333333333,91.4,50.6,88.7,84.2,50,50
Poland,2006,5.6,50,35,52.8666666666667,68.7,39.5,81.3333333333333,56.5,61.2,79.6,82.4,50,70
Portugal,2006,6.7,70,63,67.7666666666667,64,29.7,49.3,73.3,42.2,84.4,82.4,70,50
Romania,2006,7.315625,30,29,56.7,87.5,68.9,90.4333333333333,74.6,57.5,66.6,68.4,50,50
Slovakia,2006,4.1,50,40,38,89.5,52.5,85,69.3,76.7,77.8,82.4,70,90
Slovenia,2006,3.4,50,60,53.1,64,44.3,51.6666666666667,75.1,41.6,81.7,82.4,70,50
Spain,2006,5.5,70,71,55.7666666666667,55.3,50.5,38.0333333333333,78.7,50,83.9,82.4,70,70
Sweden,2006,3.6,90,92,84.8,33.2,2.2,95.3666666666667,96.1,65.1,87.7,82.4,90,70
Switzerland,2006,4.771875,90,91,80.5666666666667,73.4,61.1,96,85,77.1,89.6,82,70,70
Turkey,2006,11.3,50,32,52.2666666666667,68,68.1,93.8333333333333,66.7,39.1,64.7,81,50,50
United Kingdom,2006,5.4,90,86,90.9,62.3,43.5,54.1666666666667,91.5,81.1,86.7,82.4,90,90
Austria,2005,3.8,90,80,78,44.4,22.6,82.1,70,73.6,87,80.2,70,70
Belgium,2005,4,90,76,66.8,42.1,22,69.2,70,68,81.8,80.2,90,70
Bulgaria,2005,6.0875,30,39,41.1,80.3,53.4,93.1666666666667,55,80.3,83.1,82,50,70
Croatia,2005,5.5,30,37,52.0666666666667,59.3,26.2,65.7666666666667,55,44.3,81.4,65.4,50,70
Cyprus,2005,4.3,90,61,55.1666666666667,79,57.4,77.5,85,70,83,73.6,50,70
Denmark,2005,3.5,90,95,76.6333333333333,33.9,8.3,96.2666666666667,100,99.9,85.6,80.2,70,90
Estonia,2005,5.9,70,55,80.9,82.9,61.6,99.8,85,47.4,85.5,84.8,90,90
Finland,2005,3.6,90,97,82.2,58,22.3,81.6,85,49.9,88,80.2,70,70
France,2005,4,70,69,70.5,44.8,10.9,60.9,70,54.3,86,80.2,70,50
Germany,2005,3.8,90,77,77.6333333333333,58.4,28.6,90.8333333333333,70,48.7,88.1,80.2,90,50
Greece,2005,5.8,50,43,54.8666666666667,58,54.4,69.2,70,56.1,78.1,80.2,50,50
Iceland,2005,3.5,90,96,69.3,72.5,30.9,93.8666666666667,85,64.6,88.6,78.2,70,90
Ireland,2005,5,90,75,75.2333333333333,72.6,64.5,76.7,85,78.2,82.5,80.2,90,90
Italy,2005,5.6,70,53,55.3666666666667,49.6,27.4,68.8,70,74.5,84.7,80.2,70,70
Latvia,2005,6.7,50,38,55.6666666666667,83.6,52.7,95.7333333333333,70,63.5,84.8,80,70,70
Lithuania,2005,6.9,50,47,63.4333333333333,82.8,65.1,95.8666666666667,70,55.8,90.1,84,70,90
Luxembourg,2005,3.9,90,87,75.7666666666667,64.3,39,98.9666666666667,85,51.4,85.9,80.2,90,90
Malta,2005,3.9,90,50,58.7,62.2,40.3,89.8666666666667,85,60,85.7,75.8,50,90
Netherlands,2005,4,90,89,72.9,45.7,28,88.1666666666667,70,61.5,84.8,80.2,90,90
Norway,2005,4.1,90,88,83.5,50.4,28.3,97.8333333333333,70,49.3,85.5,83.6,50,50
Poland,2005,6.6,50,36,52.8666666666667,68.3,30.3,81.3333333333333,70,60,82.3,79.2,50,70
Portugal,2005,7,70,66,67.7666666666667,61.7,32,49.3,70,41.2,83.2,80.2,70,50
Romania,2005,7.2375,30,28,56.7,70.1,68.9,90.4333333333333,55,55.5,62.6,70.4,30,50
Slovakia,2005,3.9,50,37,38,81.9,42.4,85,70,75.7,78,72.8,70,90
Slovenia,2005,3.4,50,59,53.1,55.6,45.3,51.6666666666667,85,40.3,79.1,81.8,50,50
Spain,2005,5.5,70,69,55.7666666666667,55.4,53,38.0333333333333,70,48.8,83.9,80.2,70,70
Sweden,2005,3.3,90,93,84.8,33.7,0,95.3666666666667,70,65.2,86,80.2,90,90
Switzerland,2005,4.7625,90,88,80.5666666666667,73,61.1,96,70,77.2,90,83.4,70,90
Turkey,2005,10.175,50,31,52.2666666666667,65.3,54.4,93.8333333333333,55,40.7,53.8,76,50,30
United Kingdom,2005,5.9,90,87,90.9,62.3,43.5,54.1666666666667,85,79,85,80.2,90,90
Austria,2004,3.8,90,78,78,43.5,21,82.1,70,74.8642857142857,85.9,79.8,70,70
Belgium,2004,3.9,90,71,66.8,43.1,23.5,69.2,70,67.5714285714286,81.3,79.8,90,70
Bulgaria,2004,6.125,30,40,41.1,81.1,64.5,93.1666666666667,55,77.2,78.7,63.2,50,70
Croatia,2004,5.45,30,38,52.0666666666667,67.3,22.9,65.7666666666667,55,43.2071428571429,79.5,65.4,50,70
Cyprus,2004,4.325,90,70,55.1666666666667,81.4,56.2,77.5,85,65.5642857142857,84.6,79.4,50,70
Denmark,2004,3.4,90,95,76.6333333333333,33.6,8.3,96.2666666666667,100,93.2857142857143,85.1,79.8,70,90
Estonia,2004,7.2,70,56,80.9,83.8,55.5,99.8,85,53.2,82.1,84.2,90,90
Finland,2004,3.5,90,97,82.2,57.5,25,81.6,85,47.5642857142857,86,79.8,70,70
France,2004,4.2,70,63,70.5,44.3,14.5,60.9,70,50.9928571428571,86.4,79.8,70,50
Germany,2004,4.4,90,73,77.6333333333333,56.4,29.4,90.8333333333333,70,45.5,87.1,79.8,90,50
Greece,2004,5.9,50,42,54.8666666666667,58.4,53.2,69.2,70,53.0571428571429,78.1,79.8,50,50
Iceland,2004,3.4,90,94,69.3,58.7,37.9,93.8666666666667,85,62.3285714285714,85.2,78.2,70,50
Ireland,2004,4.9,90,69,75.2333333333333,71.8,66.3,76.7,85,77.75,81.1,79.8,90,90
Italy,2004,5.6,70,52,55.3666666666667,49.7,31.7,68.8,70,58.6428571428572,84.8,79.8,70,70
Latvia,2004,7.05,50,37,55.6666666666667,82.2,62.2,95.7333333333333,70,64.3285714285714,85.8,79.8,70,70
Lithuania,2004,6.3,50,48,63.4333333333333,82.8,70.6,95.8666666666667,70,59.6,90.1,80.2,70,90
Luxembourg,2004,3.9,90,90,75.7666666666667,58.9,41.4,98.9666666666667,85,44.6642857142857,85.3,79.8,90,90
Malta,2004,4.025,90,50,58.7,63.1,11.5,89.8666666666667,85,59,84.6,65.4,50,70
Netherlands,2004,3.95,90,90,72.9,45.2,32.3,88.1666666666667,70,62.4357142857143,83.2,79.8,90,90
Norway,2004,3.6,90,85,83.5,50.8,31.7,97.8333333333333,70,48.2571428571429,86.3,81.8,50,50
Poland,2004,5.65,50,40,52.8666666666667,64.9,35.1,81.3333333333333,70,61.0571428571428,78.1,70.4,50,70
Portugal,2004,7,70,63,67.7666666666667,62.3,36.2,49.3,70,39.4285714285714,82.9,79.8,70,50
Romania,2004,6.925,30,26,56.7,69.9,74.8,90.4333333333333,55,61.4214285714286,56.8,57.6,30,50
Slovakia,2004,3.725,50,37,38,68.5,42.4,85,70,65.3071428571429,80.8,72.8,70,90
Slovenia,2004,3.375,50,60,53.1,54.4,40.6,51.6666666666667,85,47.2285714285714,77.3,65.2,50,50
Spain,2004,5.2,70,71,55.7666666666667,52.9,52.7,38.0333333333333,70,51.7,83.6,79.8,70,70
Sweden,2004,3.3,90,93,84.8,32,0,95.3666666666667,70,57.1571428571429,85.8,79.8,90,90
Switzerland,2004,4.725,90,85,80.5666666666667,80.6,55.8,96,70,79.7642857142857,89.4,85,70,90
Turkey,2004,10.05,50,32,52.2666666666667,60.8,56.9,93.8333333333333,55,44.0571428571429,46.1,74.2,50,50
United Kingdom,2004,5.55,90,87,90.9,61.2,50.1,54.1666666666667,85,75.1357142857143,86.6,79.8,70,90
Austria,2003,4.1,90,78,78,45.3,18.6,82.1,70,74.8642857142857,85.1,81.4,70,70
Belgium,2003,4.3,90,66,66.8,33.7,26.8,69.2,70,67.5714285714286,85.2,81.4,90,70
Bulgaria,2003,6.125,50,39,41.1,72.4,56.7,93.1666666666667,55,77.2,77.5,62.4,50,50
Croatia,2003,5.45,30,39,52.0666666666667,77.6,28.6,65.7666666666667,55,43.2071428571429,76.3,72.8,50,50
Cyprus,2003,4.325,90,70,55.1666666666667,70.7,59.8,77.5,85,65.5642857142857,85,79.4,50,70
Denmark,2003,3.6,90,95,76.6333333333333,32.6,9.9,96.2666666666667,100,93.2857142857143,89.9,81.4,70,90
Estonia,2003,6.025,70,56,80.9,80.4,58.3,99.8,85,53.2,85.7,84.2,90,90
Finland,2003,3.6,90,99,82.2,54.9,28,81.6,85,47.5642857142857,84.7,81.4,70,70
France,2003,4.025,70,67,70.5,41.3,15.7,60.9,70,50.9928571428571,87,81.4,50,50
Germany,2003,4.4,90,74,77.6333333333333,55.7,30,90.8333333333333,70,45.5,86.6,81.4,90,50
Greece,2003,6.4,50,42,54.8666666666667,57.2,50.3,69.2,70,53.0571428571429,78.5,81.4,50,50
Iceland,2003,3.625,90,92,69.3,69,43,93.8666666666667,85,62.3285714285714,84.7,77.8,70,50
Ireland,2003,4.9,90,75,75.2333333333333,69.4,66.3,76.7,85,77.75,81.2,81.4,90,90
Italy,2003,5.5,70,55,55.3666666666667,48,29.4,68.8,70,58.6428571428572,84.7,81.4,70,70
Latvia,2003,7.05,50,34,55.6666666666667,78.3,58,95.7333333333333,70,64.3285714285714,84.9,78.6,70,70
Lithuania,2003,6.3,50,48,63.4333333333333,78.8,71.5,95.8666666666667,70,59.6,88.1,80.4,70,70
Luxembourg,2003,4.1,90,87,75.7666666666667,59.8,51.5,98.9666666666667,85,44.6642857142857,84.7,81.4,90,90
Malta,2003,4.025,90,30,58.7,63.5,36.8,89.8666666666667,85,59,79.8,65,50,50
Netherlands,2003,3.95,90,88,72.9,44.1,35.4,88.1666666666667,70,62.4357142857143,82.8,81.4,90,90
Norway,2003,3.8,90,86,83.5,50.9,41.4,97.8333333333333,70,48.2571428571429,84.1,82.8,50,50
Poland,2003,5.65,70,41,52.8666666666667,65.6,46.1,81.3333333333333,70,61.0571428571428,73.5,70.2,50,70
Portugal,2003,6.8,70,63,67.7666666666667,61.8,35.7,49.3,70,39.4285714285714,82.6,81.4,70,50
Romania,2003,6.925,30,28,56.7,69.1,62.4,90.4333333333333,55,61.4214285714286,50.8,60.2,50,50
Slovakia,2003,3.725,50,37,38,67.5,22.3,85,70,65.3071428571429,71.3,72.8,70,70
Slovenia,2003,3.375,50,52,53.1,53.1,40.6,51.6666666666667,85,47.2285714285714,76.7,62.2,50,50
Spain,2003,5.425,70,70,55.7666666666667,52.6,52.2,38.0333333333333,70,51.7,83.3,81.4,70,70
Sweden,2003,3.375,90,90,84.8,29.8,2.9,95.3666666666667,70,57.1571428571429,86.4,81.4,90,90
Switzerland,2003,4.725,90,84,80.5666666666667,80.4,55.3,96,70,79.7642857142857,88.3,83,70,90
Turkey,2003,10.05,50,36,52.2666666666667,64.6,45,93.8333333333333,55,44.0571428571429,42.9,73.6,50,50
United Kingdom,2003,5.55,90,83,90.9,60.9,51,54.1666666666667,85,75.1357142857143,85.9,81.4,70,90
Austria,2002,3.85,90,77,78,44.5,18.9,82.1,70,74.8642857142857,86.4,79.6,70,70
Belgium,2002,4.1,90,61,66.8,33.7,28,69.2,70,67.5714285714286,86,79.6,90,70
Bulgaria,2002,3.8,50,35,41.1,68.3,49.6,93.1666666666667,55,77.2,75.8,60.2,70,50
Croatia,2002,5.45,30,37,52.0666666666667,68.3,25,65.7666666666667,55,43.2071428571429,75.7,68.8,50,50
Cyprus,2002,4.325,90,70,55.1666666666667,71.2,58.9,77.5,85,65.5642857142857,83.5,78.8,50,70
Denmark,2002,3.475,90,98,76.6333333333333,32.2,5.9,96.2666666666667,85,93.2857142857143,89.6,79.6,70,90
Estonia,2002,6.1,70,57,80.9,80,54.4,99.8,85,53.2,87,85,90,90
Finland,2002,3.7,90,100,82.2,55.6,28,81.6,85,47.5642857142857,84.6,79.6,70,70
France,2002,3.9,70,67,70.5,37.2,15.7,60.9,70,50.9928571428571,82.7,79.6,50,50
Germany,2002,4.4,90,76,77.6333333333333,53.3,36.5,90.8333333333333,70,45.5,88,79.6,90,50
Greece,2002,6.05,50,49,54.8666666666667,50.1,54.4,69.2,70,53.0571428571429,78.7,79.6,50,50
Iceland,2002,3.625,90,91,69.3,63.1,44.5,93.8666666666667,85,62.3285714285714,81.7,82.2,70,50
Ireland,2002,4.925,90,72,75.2333333333333,66.5,69.3,76.7,85,77.75,81.8,79.6,90,90
Italy,2002,5.5,70,46,55.3666666666667,48,33.7,68.8,70,58.6428571428572,85.5,79.6,70,70
Latvia,2002,7.05,50,34,55.6666666666667,76.8,49.6,95.7333333333333,70,64.3285714285714,84.4,80,70,70
Lithuania,2002,6.3,50,41,63.4333333333333,74.1,69.3,95.8666666666667,70,59.6,87.7,82.8,70,50
Luxembourg,2002,4.025,90,86,75.7666666666667,56.8,52,98.9666666666667,85,44.6642857142857,85.2,79.6,90,90
Malta,2002,4.025,90,30,58.7,64.6,30.9,89.8666666666667,70,59,79.1,75.4,50,70
Netherlands,2002,4,90,89,72.9,43.6,39.3,88.1666666666667,70,62.4357142857143,84.6,79.6,90,90
Norway,2002,3.2,90,91,83.5,51.1,41.9,97.8333333333333,70,48.2571428571429,79.3,82.8,50,50
Poland,2002,5.65,70,41,52.8666666666667,65.3,49.6,81.3333333333333,70,61.0571428571428,70.4,78.8,70,70
Portugal,2002,7.3,70,64,67.7666666666667,60.8,39.3,49.3,70,39.4285714285714,84.7,79.6,70,50
Romania,2002,4.7,30,29,56.7,64.4,58.9,90.4333333333333,55,61.4214285714286,46.6,74.4,50,30
Slovakia,2002,3.725,50,35,38,61.1,33.7,85,70,65.3071428571429,68.8,79.8,70,70
Slovenia,2002,3.1,50,55,53.1,51.8,41.9,51.6666666666667,85,47.2285714285714,72,64.2,50,50
Spain,2002,5.1,70,70,55.7666666666667,53.1,52,38.0333333333333,70,51.7,84.1,79.6,70,70
Sweden,2002,3.3,90,94,84.8,31.4,2.5,95.3666666666667,70,57.1571428571429,89.7,79.6,90,90
Switzerland,2002,4.725,90,86,80.5666666666667,80,56.7,96,70,79.7642857142857,88.1,83,70,90
Turkey,2002,10.8,50,38,52.2666666666667,65.2,58.9,93.8333333333333,55,44.0571428571429,41,79.6,50,50
United Kingdom,2002,5.5,90,87,90.9,61.5,58.9,54.1666666666667,85,75.1357142857143,84.7,79.6,70,90
